cmsId,email,sName,gName,gender,age,major,depName,gpa,cgpa,year,residentialStatus,city,province
373111,abcd,Ibrahim Rizvi,Hakim Javed,Male,20,Mechanical Engineering,SMME,3.84,3.4,2020,Day Scholar,Karachi,Sindh
321371,abcd,Saida Mirza,Rashid Khan,Male,25,Management Sciences,SADA,3.04,2.22,2024,Day Scholar,Faisalabad,Sindh
352698,abcd,Jalal Rasheed,Amina Tariq,Female,22,Electrical Engineering,SCME,2.74,2.23,2024,Day Scholar,Islamabad,Punjab
337695,abcd,Hakim Talib,Nadira Hamza,Female,18,Mechanical Engineering,SMME,2.72,3.36,2020,Day Scholar,Lahore,Punjab
384074,abcd,Iqbal Akhtar,Nadira Hassan,Female,20,Chemical Engineering,SNS,3.74,3.37,2025,Day Scholar,Rawalpindi,Punjab
382936,abcd,Hamza Arshad,Jalal Aslam,Male,18,Mechanical Engineering,SMME,3.74,3.7,2023,Day Scholar,Lahore,Sindh
327634,abcd,Nadia Khan,Zaki Hussaini,Female,21,Chemical Engineering,SMME,3.65,2.79,2024,Day Scholar,Lahore,Punjab
329602,abcd,Rafi Hassan,Asad Noor,Female,25,Chemical Engineering,SNS,2.47,3.85,2022,Day Scholar,Karachi,Sindh
346199,abcd,Imran Qureshi,Zain Azam,Male,18,Management Sciences,SADA,2.6,3.65,2023,Hostellite,Islamabad,Punjab
321493,abcd,Faisal Hamid,Zakariya Hassan,Female,18,Computer Science,SMME,3.73,2.89,2024,Day Scholar,Karachi,Islamabad Federal
358239,abcd,Salma Raza,Waleed Noor,Male,24,Computer Science,SMME,3.65,3.4,2020,Day Scholar,Rawalpindi,Sindh
358253,abcd,Huma Iqbal,Nadia Ashraf,Male,19,Management Sciences,SNS,2.36,3.81,2021,Hostellite,Faisalabad,Islamabad Federal
390602,abcd,Aamir Tariq,Sami Jamil,Female,20,Management Sciences,NBS,3.72,2.32,2021,Day Scholar,Lahore,Sindh
387442,abcd,Hassan Hussain,Saima Mansoor,Male,25,Chemical Engineering,SMME,3.28,2.68,2021,Hostellite,Lahore,Sindh
349928,abcd,Ghazala Tariq,Safia Rasheed,Female,23,Electrical Engineering,NBS,2.72,3.24,2020,Hostellite,Islamabad,Punjab
397932,abcd,Naseem Noor,Yusuf Iqbal,Male,21,Software Engineering,SEECS,3.96,2.53,2023,Hostellite,Islamabad,Sindh
340003,abcd,Saima Rafiq,Ayesha Iqbal,Male,24,Software Engineering,SEECS,3.55,2.46,2020,Hostellite,Karachi,Sindh
388683,abcd,Waleed Farooqi,Rashid Rizvi,Female,25,Law,SADA,3.77,3.46,2025,Day Scholar,Faisalabad,Islamabad Federal
321566,abcd,Naim Shah,Fatima Noor,Male,19,Computer Science,SMME,3.44,2.96,2025,Day Scholar,Lahore,Punjab
362593,abcd,Farid Haider,Sana Ashraf,Male,18,Mechanical Engineering,SADA,3.6,3.13,2023,Day Scholar,Faisalabad,Sindh
393344,abcd,Rabia Kamal,Yasir Ali,Female,21,Law,SCME,3.37,2.94,2021,Day Scholar,Karachi,Punjab
377982,abcd,Ghazala Hussain,Mahir Aslam,Male,20,Electrical Engineering,SEECS,2.95,3.99,2020,Hostellite,Karachi,Sindh
326065,abcd,Mahir Akhtar,Kamran Azam,Male,20,Software Engineering,SCME,2.2,3.35,2024,Hostellite,Lahore,Punjab
366963,abcd,Samina Mirza,Tariq Saleh,Male,18,Electrical Engineering,SCME,3.98,2.87,2021,Day Scholar,Islamabad,Sindh
383584,abcd,Saida Hashmi,Rafi Saleh,Male,18,Computer Science,S3H,3.46,3.42,2025,Day Scholar,Islamabad,Punjab
370261,abcd,Ayesha Rizvi,Imran Malik,Male,20,Electrical Engineering,S3H,2.6,2.33,2020,Day Scholar,Islamabad,Islamabad Federal
321043,abcd,Ameen Saeed,Zakariya Ali,Male,23,Management Sciences,SEECS,3.45,3.35,2022,Day Scholar,Rawalpindi,Sindh
357432,abcd,Dina Haider,Zainab Zahid,Male,21,Mechanical Engineering,SCME,3.02,2.01,2020,Hostellite,Faisalabad,Punjab
364649,abcd,Ayesha Nadeem,Nour Javed,Male,25,Chemical Engineering,SNS,3.84,3.45,2024,Hostellite,Lahore,Islamabad Federal
325199,abcd,Yusuf Khanzada,Khalil Nadeem,Female,21,Mechanical Engineering,SEECS,2.72,3.32,2024,Day Scholar,Karachi,Islamabad Federal
326606,abcd,Hina Rasheed,Iqbal Nadeem,Female,19,Electrical Engineering,SMME,2.79,3.41,2025,Day Scholar,Rawalpindi,Punjab
346315,abcd,Zainab Aslam,Irfan Nadeem,Male,21,Software Engineering,SNS,2.73,3.3,2025,Hostellite,Rawalpindi,Sindh
333516,abcd,Tahir Zaman,Zakariya Nadeem,Male,25,Electrical Engineering,S3H,3.11,2.74,2025,Day Scholar,Islamabad,Sindh
358006,abcd,Javed Yusufzai,Irfan Kamal,Female,20,Mechanical Engineering,SMME,2.55,2.53,2024,Day Scholar,Lahore,Islamabad Federal
370396,abcd,Farid Hakim,Nashit Baig,Female,24,Chemical Engineering,SCME,3.93,2.05,2020,Hostellite,Faisalabad,Sindh
351864,abcd,Shazia Zafar,Yasir Mahmood,Female,20,Management Sciences,SADA,3.6,3.53,2025,Day Scholar,Rawalpindi,Punjab
339543,abcd,Hassan Zafar,Muna Rasheed,Female,24,Mechanical Engineering,NBS,2.81,2.21,2021,Day Scholar,Faisalabad,Punjab
353828,abcd,Amina Rehman,Karim Anwar,Female,19,Management Sciences,SCME,3.92,3.16,2023,Day Scholar,Lahore,Sindh
385103,abcd,Tahir Arshad,Rameez Abbas,Male,21,Chemical Engineering,S3H,2.31,2.73,2022,Hostellite,Islamabad,Sindh
339453,abcd,Zain Iqbal,Zaida Sultan,Male,25,Electrical Engineering,SADA,2.6,3.1,2021,Hostellite,Lahore,Sindh
373303,abcd,Zia Sarfraz,Farid Rizvi,Female,20,Mechanical Engineering,NBS,2.95,2.68,2021,Hostellite,Faisalabad,Punjab
346095,abcd,Afifa Siddiqi,Aamir Rafiq,Male,25,Electrical Engineering,S3H,3.21,3.16,2025,Day Scholar,Islamabad,Sindh
376112,abcd,Malik Ashraf,Nashit Hamza,Male,24,Chemical Engineering,SEECS,2.65,3.74,2021,Day Scholar,Faisalabad,Sindh
332029,abcd,Safiyyah Qureshi,Hassan Javed,Female,22,Chemical Engineering,SEECS,2.13,3.35,2023,Day Scholar,Rawalpindi,Islamabad Federal
383698,abcd,Kareem Kamal,Zakariya Abbas,Male,24,Electrical Engineering,SADA,2.4,2.2,2025,Day Scholar,Karachi,Islamabad Federal
373846,abcd,Zain Javed,Fariha Rizvi,Female,24,Chemical Engineering,NBS,3.07,2.56,2024,Hostellite,Faisalabad,Islamabad Federal
341265,abcd,Rukhsar Rahman,Rafi Rahman,Male,19,Law,SADA,2.06,2.58,2025,Day Scholar,Lahore,Islamabad Federal
364739,abcd,Muhammad Abbas,Ghazala Rizvi,Female,25,Management Sciences,S3H,2.2,3.98,2020,Hostellite,Faisalabad,Punjab
344178,abcd,Yasin Saeed,Faisal Mansoor,Female,21,Electrical Engineering,SCME,3.81,2.62,2021,Hostellite,Islamabad,Islamabad Federal
398750,abcd,Samiyah Ahmed,Rashid Rasheed,Female,25,Law,SNS,2.51,3.24,2023,Hostellite,Lahore,Sindh
325559,abcd,Salim Tariq,Talha Rasheed,Female,20,Software Engineering,NBS,3.32,2.38,2023,Hostellite,Karachi,Sindh
365949,abcd,Soraya Sultan,Farida Hashmi,Male,22,Law,SCME,3.3,2.94,2020,Day Scholar,Rawalpindi,Sindh
334803,abcd,Soraya Mirza,Javed Rahman,Male,22,Chemical Engineering,NBS,3.92,3.46,2024,Hostellite,Karachi,Islamabad Federal
399386,abcd,Jawad Zafar,Salma Yusufzai,Male,21,Management Sciences,SCME,3.59,2.91,2022,Day Scholar,Islamabad,Sindh
383726,abcd,Fariha Begum,Zakariya Saleh,Female,18,Law,NBS,2.98,3.98,2023,Hostellite,Faisalabad,Punjab
